Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDT28,OUT019,1798.7312944628375
FDQ22,OUT018,1794.7629007973778
FDR60,OUT049,1803.3946314956574
FDC50,OUT019,1799.6157373149342
FDV24,OUT013,1819.4753534495771
DRF48,OUT010,1813.1807478462406
FDQ47,OUT046,1795.2523065308103
DRN36,OUT049,1803.6065234770572
NCY06,OUT035,1792.348452263356
FDE52,OUT035,1797.557343446339
NCB54,OUT045,1798.5835472980286
NCF31,OUT035,1804.7310210455587
FDJ08,OUT027,1812.1489850765527
NCC07,OUT017,1791.569049189853
NCD19,OUT027,1808.7031140232211
FDL46,OUT049,1796.770721653522
FDM20,OUT045,1801.3915605239738
NCI06,OUT010,1787.3997054293172
DRM11,OUT035,1789.2588095180874
NCH07,OUT018,1813.0800259294244
FDS23,OUT013,1803.445676344104
FDO49,OUT018,1812.6420583611382
FDS35,OUT049,1787.739213871448
DRK39,OUT045,1815.8278010314875
DRI39,OUT049,1792.0955310519107
FDV04,OUT017,1794.2403995426057
NCN14,OUT035,1805.1957819379948
FDH08,OUT013,1796.452768193108
FDS20,OUT046,1797.2917261760695
FDV40,OUT049,1816.8972602956944
FDZ48,OUT010,1794.5006403837876
FDS24,OUT027,1792.2577464968388
FDK44,OUT049,1786.8979384711622
FDS48,OUT045,1814.559735580285
FDK26,OUT010,1797.4469983750632
FDD23,OUT045,1808.6589889531863
NCH54,OUT017,1820.9066146887958
NCP14,OUT010,1799.119211919522
FDM60,OUT010,1801.2569161485885
FDV24,OUT017,1799.3954961762472
FDH08,OUT018,1802.2889683251756
FDS12,OUT027,1807.2339104743
FDR39,OUT027,1796.4817159927886
FDP12,OUT027,1798.5609636510624
DRF60,OUT027,1823.4845806066396
FDC09,OUT035,1800.7148787023036
FDF50,OUT018,1804.7249613246206
FDG28,OUT035,1812.5179892183369
NCE19,OUT017,1796.8062508222959
NCM53,OUT010,1785.925463044519
NCN18,OUT049,1815.6036093406535
FDF32,OUT035,1794.9107730047278
FDF11,OUT013,1814.047426601377
DRI59,OUT049,1803.1260232399932
NCG54,OUT035,1812.2279150990657
FDM44,OUT046,1798.138598552819
FDT57,OUT018,1800.8747145022705
FDV24,OUT046,1813.0306515273342
FDI50,OUT019,1809.410123500576
FDS09,OUT035,1779.6166737182725
NCC31,OUT027,1804.3188800005262
FDQ07,OUT019,1821.2150510917531
FDC22,OUT017,1811.4281744753744
FDZ56,OUT046,1779.6764401500454
FDZ40,OUT019,1789.0770658645133
FDS46,OUT027,1797.1818774640137
DRD24,OUT045,1805.7302999532096
FDV45,OUT017,1804.942978433681
FDL26,OUT045,1788.0979654596877
FDA56,OUT018,1808.1755606590973
FDN27,OUT046,1809.3226727491206
FDM20,OUT049,1790.6326550905128
FDO16,OUT017,1798.774738649111
FDL03,OUT035,1802.0990824168339
FDE58,OUT046,1786.4846176565072
FDI02,OUT027,1798.8930736249063
NCC55,OUT019,1800.1743998226086
FDR03,OUT018,1800.3185078683273
FDB14,OUT017,1813.4866618200763
FDR45,OUT013,1815.8760857868035
NCN07,OUT017,1803.517726205968
FDM51,OUT019,1797.919950931323
FDT52,OUT027,1799.788078811293
FDL26,OUT046,1782.946235150999
NCZ42,OUT046,1806.1170002674194
DRI47,OUT019,1794.7611796062522
FDW40,OUT013,1798.061933976901
FDN34,OUT046,1784.876997251383
FDS01,OUT035,1813.443828028188
NCG55,OUT045,1817.0516800439473
FDC11,OUT035,1812.5259840928998
FDX35,OUT018,1817.346428416431
NCB06,OUT046,1794.9688709335126
FDR09,OUT019,1814.914174541933
FDC53,OUT017,1807.5709782944282
FDY45,OUT013,1810.8185104860866
FDA22,OUT010,1799.6838233908848
FDE02,OUT035,1795.716627945313
FDW21,OUT045,1813.0023848273484
FDV34,OUT046,1823.5635041220078
FDS59,OUT049,1810.0586733653479
NCW17,OUT017,1792.3345671213353
NCK54,OUT046,1797.6480204113934
FDG17,OUT019,1815.3101467147953
FDG35,OUT017,1810.2358899844694
FDD08,OUT010,1815.4098177585201
NCO07,OUT017,1794.5725899214142
FDJ10,OUT010,1799.3323913005095
FDW36,OUT017,1817.5753507323873
FDW21,OUT010,1795.085025780091
FDY19,OUT017,1809.9971815529032
DRE03,OUT013,1808.5902752812976
NCC55,OUT049,1803.9699180391976
FDH52,OUT010,1802.6499659616939
FDO09,OUT017,1797.0372598534918
FDU43,OUT045,1790.642981556144
FDX09,OUT010,1798.6132019362228
FDH40,OUT019,1796.3172886981756
FDW58,OUT017,1788.5729328430175
FDC47,OUT017,1810.302521285872
NCR41,OUT035,1801.3560857683658
DRG49,OUT035,1790.1290885565081
FDC52,OUT027,1806.7824972748615
FDY13,OUT046,1794.4062097518827
FDY35,OUT013,1804.855295890778
FDI35,OUT017,1797.1845002018993
NCU18,OUT049,1814.3962089945235
FDY33,OUT018,1813.883129561435
FDC15,OUT027,1780.001371770796
FDU01,OUT049,1788.2455990517071
NCU42,OUT046,1789.9299500499626
NCV29,OUT018,1792.7173876634465
NCY30,OUT017,1800.7884548692655
FDQ46,OUT049,1808.6472624878004
FDG58,OUT027,1815.794934348604
FDK33,OUT017,1803.4511993817814
NCD07,OUT045,1782.5842731542657
NCX29,OUT027,1793.2304248471175
NCT42,OUT013,1807.8999272694234
DRN59,OUT035,1784.958640273319
FDI44,OUT035,1800.5479686460055
FDA45,OUT049,1779.8692041731922
FDP31,OUT045,1818.2994175497697
FDY01,OUT046,1796.0270135118258
FDT09,OUT018,1816.6734898129444
DRH03,OUT027,1794.6366630168034
FDA36,OUT018,1802.9737287549133
NCF31,OUT017,1793.3748916098311
FDG14,OUT049,1802.5478998078747
FDG28,OUT027,1808.8826358344797
FDU14,OUT049,1795.6582765169387
FDY47,OUT019,1791.1055523298028
FDI56,OUT049,1804.7265714075952
DRD01,OUT013,1789.7262472705681
FDM22,OUT046,1805.203153627401
FDH33,OUT013,1798.8853434013447
DRZ24,OUT013,1798.513006311074
NCQ38,OUT046,1787.6030512816703
FDO16,OUT027,1799.4193702719422
FDU07,OUT027,1802.0831100219502
NCB07,OUT013,1790.0547782838264
FDU48,OUT045,1817.781517764143
NCM43,OUT045,1811.0020824180003
FDR31,OUT010,1808.0941020318442
DRK49,OUT018,1798.9863790298905
NCI30,OUT010,1819.2046525695262
DRD60,OUT017,1798.857649965722
NCG19,OUT046,1781.4994196067482
FDH12,OUT035,1789.8486972263543
FDM32,OUT035,1811.493852046337
FDM27,OUT035,1820.7160455482688
NCU53,OUT027,1800.6792380203897
NCQ18,OUT046,1791.1826688464428
FDS10,OUT013,1807.9625057537442
FDB33,OUT027,1779.6038790118232
FDI12,OUT013,1790.0597481283794
NCW42,OUT013,1791.9000982515574
NCC06,OUT018,1805.5523889882745
FDW02,OUT017,1787.2392048591012
NCD43,OUT017,1811.9127077770804
FDM57,OUT018,1815.247205404618
FDA58,OUT017,1789.6997271163175
FDK56,OUT046,1799.5826335894876
FDP52,OUT045,1817.9809001884714
FDW20,OUT018,1813.866779395462
FDS52,OUT049,1804.9955009450287
NCT29,OUT018,1802.454023980262
NCL54,OUT013,1790.7581440731194
FDC05,OUT045,1803.8565514357806
FDF34,OUT035,1807.0395564952332
FDP03,OUT027,1792.121592302112
FDD32,OUT010,1807.1887327946542
FDZ10,OUT045,1804.6610445106483
FDZ40,OUT035,1793.9406714670497
FDD51,OUT018,1788.5063752545104
NCY30,OUT019,1808.1588179395078
FDP58,OUT017,1792.025749175031
FDV49,OUT017,1805.0002597400469
FDY24,OUT019,1793.5739988004004
NCO55,OUT017,1797.8206240561924
FDR13,OUT017,1802.6226373581057
FDS51,OUT017,1794.6794476407292
FDP26,OUT045,1789.490231096085
NCB54,OUT027,1793.7071441997114
FDF32,OUT017,1800.769302159131
FDN31,OUT018,1804.409693407643
DRM48,OUT017,1805.5142673929497
FDN20,OUT049,1788.2919590605457
DRL01,OUT046,1791.2977804430477
FDV56,OUT049,1783.0192979243066
DRH13,OUT027,1812.284857256809
FDA03,OUT017,1808.6220981189754
FDF47,OUT027,1805.6605757918096
FDX32,OUT046,1801.2576248390449
FDX57,OUT049,1805.5254317639308
NCA30,OUT045,1800.3894327731125
FDO49,OUT013,1809.7024983152712
FDL04,OUT019,1797.4548177883983
DRM48,OUT035,1783.071936721705
FDR16,OUT013,1787.6534961424475
NCC19,OUT018,1803.299199837968
NCE42,OUT045,1808.8939610066104
FDY24,OUT017,1796.4632248123921
FDH19,OUT049,1806.564485282472
FDJ46,OUT013,1804.3127471751536
FDN45,OUT010,1796.906457239974
FDY08,OUT035,1810.4198339063378
FDZ37,OUT035,1808.6576524473733
NCT30,OUT045,1791.305287070352
DRY23,OUT018,1811.8142986473288
NCZ30,OUT018,1813.6587053686844
FDC44,OUT018,1811.5575841970417
FDB45,OUT035,1822.6792771988944
FDY04,OUT013,1815.3418296877803
FDM27,OUT046,1803.5165114954157
FDZ43,OUT017,1799.882391338494
FDT39,OUT019,1789.8752506254484
NCC06,OUT019,1805.6672295205772
FDL15,OUT027,1783.7493976551764
FDL57,OUT017,1793.1644251844587
FDU08,OUT046,1794.8549328450015
FDK40,OUT017,1797.8026757201305
FDQ12,OUT010,1811.6994206565887
FDS48,OUT017,1811.418529957232
FDP09,OUT045,1785.3404031935245
FDW21,OUT049,1811.4898243566581
FDY25,OUT035,1797.6125222348467
DRE13,OUT017,1801.9539767553752
FDV43,OUT019,1782.815027071475
FDD22,OUT045,1811.9241621813328
FDM46,OUT019,1797.6795066504076
NCO30,OUT010,1798.5711891737235
FDM25,OUT046,1785.9123165956228
NCN41,OUT049,1807.1741904279606
FDU24,OUT045,1797.959687331421
FDZ50,OUT046,1803.8037689894527
FDP45,OUT013,1800.2465190102089
NCM54,OUT045,1816.129912910367
FDW10,OUT019,1794.2890190065937
FDP20,OUT017,1805.8739587272082
FDK32,OUT046,1818.6005785971963
FDN52,OUT049,1821.198165834337
FDM58,OUT045,1789.1387863072673
FDZ46,OUT027,1793.9066269383109
NCA18,OUT018,1792.3285600244856
FDD35,OUT046,1799.8817662031092
NCK31,OUT035,1796.0438920187958
FDI40,OUT027,1805.1267439980663
FDT50,OUT019,1792.1231307380265
NCT06,OUT046,1818.6479727340475
FDT31,OUT035,1806.2099840763412
FDT45,OUT049,1801.7574067695607
FDT13,OUT045,1788.9924966739866
FDO50,OUT045,1805.7658601387004
NCU18,OUT010,1801.4034645189154
NCR54,OUT049,1800.9761044111922
NCO18,OUT018,1792.4023462389725
FDU09,OUT045,1780.5065544216873
FDT13,OUT018,1818.5247010492697
FDE09,OUT046,1792.1435520612395
NCK53,OUT019,1808.710322539547
FDG45,OUT049,1785.5832057452774
DRH15,OUT035,1792.938231558431
FDO21,OUT019,1787.4617258883832
FDD14,OUT027,1798.7593627870244
FDC09,OUT046,1794.8910210100162
FDH45,OUT027,1800.9798806683339
FDV32,OUT046,1814.4711114490326
FDG12,OUT035,1790.9842100899402
FDS32,OUT013,1803.829063632721
NCL55,OUT018,1784.9931378153256
DRE01,OUT035,1801.1548055210783
DRE15,OUT049,1801.9409537139652
NCL42,OUT045,1811.9033564464266
FDP31,OUT013,1801.3475333825393
FDN33,OUT018,1803.6336438067954
FDZ59,OUT046,1823.1765306886953
FDE45,OUT010,1816.5796272817556
FDJ07,OUT013,1788.443156686757
FDQ45,OUT018,1802.39469451984
FDM33,OUT027,1806.0536953766662
FDO15,OUT010,1778.9946235056445
FDM46,OUT013,1795.4463200223784
FDR03,OUT045,1800.746749903791
FDY49,OUT018,1797.1961593731394
FDQ60,OUT045,1806.8828509539126
FDW10,OUT049,1796.6216229333975
FDO51,OUT049,1813.4853690635005
FDJ40,OUT018,1809.135149261228
FDS20,OUT018,1794.9382396508026
FDU45,OUT013,1800.2052450952017
FDV02,OUT035,1790.9772073859885
FDN09,OUT046,1802.3673289660314
NCM55,OUT027,1818.710659596593
FDN23,OUT018,1817.9196237426258
FDY31,OUT010,1794.773271753818
FDW03,OUT010,1816.741530299285
FDD14,OUT046,1797.2528675558224
FDV23,OUT017,1804.3223715200374
DRI03,OUT045,1810.679911871711
FDN13,OUT035,1803.815605391024
FDF45,OUT027,1792.0967470420378
FDU46,OUT035,1803.6975409965746
FDB57,OUT049,1791.8293226533485
FDV12,OUT049,1807.8054674847624
FDQ58,OUT013,1804.9291557739948
NCA18,OUT017,1817.9557398607128
FDH52,OUT049,1798.311007198273
FDM24,OUT018,1808.3774895826953
NCP43,OUT027,1812.8704873833385
NCO18,OUT019,1796.5767051914336
FDM32,OUT017,1816.1729244916414
NCL07,OUT017,1795.577246928392
FDK03,OUT013,1780.269891247462
FDP59,OUT017,1796.9730586119558
FDQ24,OUT049,1820.725384799173
FDQ16,OUT018,1814.1224831347295
FDU44,OUT013,1790.4881409345394
FDH28,OUT010,1811.2934432402008
FDV28,OUT019,1782.3308350483346
FDM22,OUT045,1792.9836407011676
FDR56,OUT046,1813.3681362648529
FDV39,OUT049,1797.301080550773
FDU37,OUT019,1813.8547056170578
FDQ11,OUT010,1789.8553920066543
FDX02,OUT045,1810.714237675696
NCS42,OUT018,1809.4643018873865
FDY57,OUT027,1784.8814536428686
FDB21,OUT049,1801.3243942369947
FDE28,OUT017,1817.7672527159923
FDQ55,OUT017,1808.1889073140367
FDA48,OUT049,1779.4316648931285
FDZ19,OUT045,1781.5743101715616
NCC43,OUT045,1809.9546629542479
NCV18,OUT046,1796.8434841701755
NCA42,OUT018,1811.5095853444157
FDY45,OUT046,1806.2476151864785
NCC30,OUT045,1784.7690428907622
FDM57,OUT013,1797.4430025475242
FDL09,OUT010,1799.0686807176867
FDB09,OUT027,1812.0520708157323
FDT44,OUT035,1778.8591595773773
NCT06,OUT027,1798.3008908453385
FDX26,OUT049,1793.6606808605284
FDK32,OUT013,1800.7214459059264
DRA12,OUT046,1802.542873908083
FDO46,OUT010,1816.7615781614425
FDE52,OUT013,1793.0178999851153
NCH42,OUT045,1797.291517227337
FDV08,OUT035,1783.230585465637
FDB47,OUT018,1787.132778271699
FDC28,OUT010,1817.0289771541652
FDD22,OUT046,1810.5488617438643
FDS07,OUT027,1807.159881433179
DRI13,OUT045,1792.3810752582692
FDG32,OUT018,1787.650138051821
FDU14,OUT017,1794.5097157768253
FDD28,OUT019,1802.8850058795413
NCP41,OUT017,1794.4440333782775
FDS08,OUT049,1805.4602175666992
FDX47,OUT045,1816.882908920962
FDC53,OUT019,1822.8468744396262
FDQ19,OUT035,1810.6461587287038
FDL14,OUT045,1790.5865877638264
FDM33,OUT019,1809.3848107752908
FDA51,OUT045,1785.4802588305342
FDZ27,OUT018,1811.3928277679563
FDT04,OUT046,1790.4087913330507
DRC13,OUT049,1799.4044788530248
FDR16,OUT027,1796.3020814854349
FDQ03,OUT027,1784.8818596805065
FDE38,OUT035,1793.02916730844
DRH23,OUT027,1818.9049258590196
FDT11,OUT019,1787.8130180477647
FDD09,OUT035,1811.2160066084898
FDR40,OUT045,1789.8141952814372
FDX07,OUT017,1804.5324358821981
FDR07,OUT035,1797.3041269012951
FDA51,OUT017,1801.1710157371363
FDT59,OUT019,1789.0535046405064
FDF20,OUT017,1806.2117979624745
FDR13,OUT045,1792.861852962933
FDY26,OUT049,1813.7227179363786
FDW04,OUT017,1813.6259441018246
FDK52,OUT017,1798.4847328080805
FDN60,OUT049,1780.0302161169739
FDM09,OUT019,1801.901963059178
FDP46,OUT049,1817.8171026658517
FDB50,OUT019,1794.9556502197088
NCQ29,OUT049,1795.6266918676615
FDP16,OUT027,1812.6813490775883
FDX33,OUT018,1797.2529717873704
FDP07,OUT010,1785.3473191468506
FDN22,OUT046,1798.8645777984834
FDF39,OUT049,1817.6259503089905
FDS21,OUT017,1810.32010866572
NCM42,OUT013,1816.8595343983854
FDK50,OUT019,1788.853082634357
DRF13,OUT027,1782.6073274400158
FDH35,OUT018,1787.3825705314923
FDP60,OUT018,1817.2875131461838
DRJ49,OUT027,1786.3259410603912
NCT42,OUT019,1799.7904078554739
FDE38,OUT049,1800.4752923688318
FDI04,OUT049,1807.7258723426787
NCH54,OUT045,1795.2219875002975
FDT56,OUT049,1790.9627650427753
DRD15,OUT018,1795.501920748653
FDV58,OUT013,1811.6224748662682
FDP21,OUT049,1800.1608870701402
FDH05,OUT013,1797.607592811338
FDR10,OUT027,1810.5087722551523
NCP06,OUT045,1800.391694971903
FDF33,OUT049,1805.4545737227063
DRK37,OUT013,1808.2888740563449
DRH49,OUT045,1808.2139700214739
FDT58,OUT013,1806.7008579972235
FDD41,OUT018,1793.775659771941
FDP40,OUT018,1815.307875848618
FDM51,OUT027,1810.9053401795568
FDO45,OUT010,1809.8358842147577
FDW33,OUT010,1811.3795336733006
FDY24,OUT045,1796.0902046464187
FDB10,OUT010,1810.4783321383022
FDM40,OUT035,1795.6900693327011
NCI06,OUT017,1815.0842750245897
FDW12,OUT019,1820.4042943379927
FDX48,OUT027,1801.5224707981333
NCW05,OUT027,1812.110461343015
FDX27,OUT017,1779.9735286494747
DRM37,OUT045,1780.5395446470143
FDA38,OUT045,1808.452148622803
FDR36,OUT046,1813.2761366538439
FDZ45,OUT046,1795.0018152678292
FDG05,OUT017,1790.6214271106933
FDK28,OUT013,1798.0285135437434
FDV47,OUT045,1801.429197690074
FDN21,OUT045,1801.4139764050178
FDP20,OUT027,1784.1056430898784
FDI35,OUT045,1792.3670014660743
DRY23,OUT013,1809.539476081639
FDA56,OUT017,1801.490924736919
FDB09,OUT013,1808.0690198367759
NCO26,OUT027,1795.973613918213
FDQ49,OUT018,1785.6870908732774
FDI52,OUT027,1799.76644879412
FDZ44,OUT027,1815.2417336379247
FDZ09,OUT018,1801.0492201467964
FDY03,OUT049,1786.0348947424086
NCG42,OUT017,1790.3658993022993
DRI13,OUT027,1798.6505622914278
FDQ32,OUT013,1805.3543245365604
FDW16,OUT035,1807.6898210032516
FDU27,OUT046,1802.488075244796
FDR28,OUT010,1819.6536458294204
FDQ49,OUT010,1810.2413127592224
FDS37,OUT046,1814.159880598422
FDW26,OUT018,1813.8536907541081
FDX12,OUT018,1818.0125657267665
NCP06,OUT013,1814.992070383837
FDW45,OUT010,1787.236262531669
NCN30,OUT049,1804.620752258441
FDN24,OUT049,1781.5969479679777
NCL41,OUT027,1801.075727382321
FDR02,OUT019,1780.5656581529104
FDD09,OUT010,1816.1669246462577
FDS33,OUT010,1819.1128441235705
FDU22,OUT045,1814.7154957504786
FDI53,OUT013,1807.3738549835575
DRH01,OUT049,1791.2825069912767
FDX32,OUT013,1785.8313062445357
NCP30,OUT018,1810.0436938870453
FDB60,OUT045,1811.7884124910113
FDB14,OUT049,1815.3616778640292
NCP02,OUT035,1795.9748930025708
FDJ10,OUT017,1807.2783115142736
FDG34,OUT046,1796.2673702611319
NCB18,OUT017,1801.7394485358573
FDM16,OUT049,1793.411704125995
FDW25,OUT018,1797.6440140140871
FDB35,OUT010,1785.5593164002469
DRN11,OUT013,1787.0949768980413
FDF41,OUT019,1803.6424789850344
FDH16,OUT045,1780.19994739574
NCQ50,OUT018,1795.091818306958
DRH23,OUT018,1802.6914384697154
DRJ37,OUT013,1787.5800257607953
DRJ24,OUT027,1800.9839185317037
FDY16,OUT035,1782.857480694183
FDQ27,OUT045,1799.7241002696421
FDZ33,OUT045,1795.744526029639
FDF29,OUT045,1799.2133475102753
FDA08,OUT049,1815.298525283843
FDG31,OUT046,1797.1588827490264
FDE34,OUT019,1800.3110919599476
NCR30,OUT027,1807.9796504253727
FDV33,OUT035,1795.4791898657554
DRZ24,OUT018,1784.9045494756094
NCL54,OUT035,1823.7801063901343
FDR12,OUT049,1823.4760816974367
NCC54,OUT046,1804.5874809112834
DRN59,OUT013,1803.216084127642
FDX50,OUT019,1819.6593538045704
FDV31,OUT027,1800.3731172206415
NCA29,OUT027,1806.1699258056624
FDW60,OUT049,1818.591704019897
FDX08,OUT017,1793.556438025133
DRD49,OUT013,1785.4835357806342
FDD33,OUT046,1817.7342898604245
FDW35,OUT013,1778.7318902514467
FDJ36,OUT017,1799.630513013732
FDV51,OUT035,1807.6272812530926
FDW36,OUT046,1801.9090072610816
FDH35,OUT046,1813.7701505985908
NCS30,OUT027,1811.7071641456787
FDN49,OUT017,1788.5261806672181
FDL08,OUT018,1819.213249307979
FDI09,OUT013,1791.326883913435
FDP19,OUT018,1801.1193972998383
FDU21,OUT010,1798.7334531523886
NCP41,OUT045,1815.2760812096458
FDY10,OUT013,1780.977647364636
FDP12,OUT018,1811.6101645353526
NCN26,OUT049,1782.0553343040554
FDK44,OUT013,1815.4565617257272
FDC28,OUT049,1807.6326897858228
FDJ41,OUT027,1801.2883845214978
NCT29,OUT035,1798.7285848469276
NCH42,OUT019,1796.2229417394624
FDU60,OUT018,1799.7220511248283
FDS02,OUT045,1809.4053376119696
FDC51,OUT046,1792.8791826232875
FDU03,OUT013,1786.9016575622795
FDX39,OUT045,1800.8261803782011
NCY05,OUT010,1787.8562855726339
NCL06,OUT027,1787.6971240279142
FDD32,OUT035,1793.2532345539876
NCN41,OUT045,1794.0071189494256
NCX53,OUT049,1809.7651715429208
FDU57,OUT019,1798.6039019376901
FDQ23,OUT046,1788.8786253086046
FDQ52,OUT045,1817.5168144051077
FDC14,OUT045,1800.426540159967
FDY09,OUT035,1802.9580409262344
FDQ28,OUT045,1783.102474036098
FDV25,OUT046,1798.8403955757415
FDJ07,OUT035,1803.7716949881665
DRB25,OUT049,1796.8454912388966
FDK52,OUT019,1780.1183789428778
FDY52,OUT027,1790.795840093476
FDB28,OUT046,1795.4271222093184
FDT36,OUT035,1814.2971735526214
FDV25,OUT017,1785.4730856473059
NCN07,OUT027,1800.0984139214154
FDC57,OUT017,1792.1072677722645
FDQ03,OUT018,1797.499829432081
FDU23,OUT017,1785.3693857704957
NCX41,OUT035,1807.4541599070146
NCD06,OUT035,1786.5032034326368
FDW08,OUT045,1809.4142745764334
NCU29,OUT017,1819.4560440119394
NCE06,OUT013,1799.8951965065874
FDV52,OUT010,1789.9196848333286
FDB02,OUT017,1802.9426675133436
NCR18,OUT045,1807.1346382508868
FDK16,OUT049,1799.2609537112633
NCQ29,OUT010,1816.19129854197
FDZ01,OUT019,1818.7647113995047
FDW27,OUT035,1782.2925984858211
FDD17,OUT018,1792.7665380068486
FDW39,OUT013,1787.4430299138508
DRH59,OUT045,1789.2423411348475
FDS52,OUT013,1800.0329892343361
FDU40,OUT027,1798.9137871223695
NCF54,OUT013,1799.483798949149
FDH46,OUT045,1793.320142297761
NCP14,OUT049,1806.0554011120485
FDH50,OUT049,1791.8963337514429
DRF15,OUT010,1789.890790357665
FDV27,OUT027,1801.7558309512733
NCJ06,OUT049,1802.170365584478
FDN02,OUT018,1820.1688088386418
FDQ51,OUT049,1811.9178455726133
